product_id,product_name,category,subcategory,brand,price,currency,stock_quantity,sku,description,rating,review_count,image_url,weight_kg,dimensions_cm,color,size,discount_percent,is_featured,created_date
1,Wireless Bluetooth Headphones,Electronics,Audio,SoundMax,79.99,USD,150,SM-WH-001,"Premium wireless headphones with active noise cancellation and 30-hour battery life",4.5,1247,https://example.com/images/headphones-black.jpg,0.25,20x18x8,Black,One Size,15,true,2024-01-15
2,Organic Cotton T-Shirt,Clothing,Men's Tops,EcoWear,24.99,USD,500,EW-TS-M-002,"100% organic cotton t-shirt, soft and breathable fabric, perfect for everyday wear",4.3,892,https://example.com/images/tshirt-navy.jpg,0.18,NA,Navy Blue,Medium,0,false,2024-02-20
3,Stainless Steel Water Bottle,Home & Kitchen,Drinkware,HydroLife,32.50,USD,320,HL-WB-750,"750ml insulated water bottle, keeps drinks cold for 24hrs and hot for 12hrs",4.7,2103,https://example.com/images/bottle-silver.jpg,0.35,28x7x7,Silver,750ml,20,true,2024-01-10
4,Yoga Mat Premium,Sports & Fitness,Yoga,FlexFlow,45.00,USD,200,FF-YM-PRO,"6mm thick non-slip yoga mat with alignment lines, eco-friendly TPE material",4.6,1567,https://example.com/images/yogamat-purple.jpg,1.20,183x61x0.6,Purple,Standard,10,true,2024-03-05
5,LED Desk Lamp,Home & Office,Lighting,BrightSpace,39.99,USD,180,BS-DL-LED,"Adjustable LED desk lamp with touch control, 5 brightness levels and USB charging port",4.4,734,https://example.com/images/desklamp-white.jpg,0.65,45x15x15,White,One Size,0,false,2024-02-28
6,Running Shoes Men,Footwear,Athletic Shoes,RunPro,89.99,USD,95,RP-RS-M10,"Lightweight running shoes with responsive cushioning and breathable mesh upper",4.8,3421,https://example.com/images/shoes-black-red.jpg,0.42,NA,Black/Red,10,25,true,2024-01-20
7,Bamboo Cutting Board Set,Home & Kitchen,Kitchen Tools,ChefCraft,28.75,USD,410,CC-CB-SET3,"Set of 3 bamboo cutting boards in different sizes, antimicrobial and eco-friendly",4.5,981,https://example.com/images/cuttingboard-set.jpg,1.80,38x28x2,Natural,Small/Medium/Large,5,false,2024-03-12
8,Smart Watch Fitness Tracker,Electronics,Wearables,FitTech,129.99,USD,75,FT-SW-2024,"Waterproof fitness tracker with heart rate monitor, GPS, and 7-day battery life",4.2,2156,https://example.com/images/smartwatch-black.jpg,0.05,4.5x3.8x1.2,Black,One Size,30,true,2024-02-01
9,Ceramic Plant Pot Set,Home & Garden,Planters,GreenThumb,35.50,USD,225,GT-PP-CER4,"Set of 4 modern ceramic planters with drainage holes and saucers included",4.6,612,https://example.com/images/plantpot-white.jpg,2.10,Various,White/Grey,Small,0,false,2024-03-18
10,Protein Powder Chocolate,Health & Wellness,Supplements,NutriMax,49.99,USD,340,NM-PP-CHOC2,"2lb whey protein powder, 25g protein per serving, gluten-free, chocolate flavor",4.4,1876,https://example.com/images/protein-chocolate.jpg,0.91,20x15x15,Brown,2lb,15,false,2024-01-25
